Pathogen,Priority score,Priority order,Pathogen subtypes/names,Also known as,Pathogen Type,Priority type,Disease Type,Family,Priority,Disease,taxids,BRC's appearance,WasteWater,Afecting species,WHO,NIAID,ECDC,AFRICACDC,WOAH,CDC,FAO,EFSA,EU4S-DEEP,UKHSA,Number of priority lists,"Number of appearances (WHO, NIAD, ECDC)","Number of appearances (WHO, NIAD, ECDC, AFRICACDC)",Notes,NIAID Notes
Cryptosporidium spp. ,11,31,"C. parvum, C. hominidis",,Parasite (Protozoa),Biodefense/Bioterrorism,,Cryptosporidiidae,,Cryptosporidiosis,5806,,,,,X,X,,,,,,,,1,2,2,,
Giardia intestinalis,11,32,,"Giardia lamblia
Lamblia intestinalis",Parasite (Protozoa),Biodefense/Bioterrorism,,Hexamitidae,,Giardiasis,5741,,,,,X,X,,,,,,,,1,2,2,,
Toxoplasma gondii,11,33,,,Parasite (Protozoa),Biodefense/Bioterrorism,,Sarcocystidae,,,5811,,,,,X,X,,,,,,,,1,2,2,,
Orthohantavirus hantanense,11,34,,Korean hemorrhagic fever virus,Virus,"Pandemic preparedness, Biodefense/Bioterrorism",Hantavirus pulmonary syndrome,Hantaviridae,,,3052480,,,,X,X,X,,,,,,,,2,3,3,,Viral hemorrhagic fevers (bunyaviruses)
Neisseria gonorrhoeae,11,35,,gonoccocus,Bacteria,"AMR/Nosocomial infection, STI",,Neisseriaceae,,Gonnorheae,485,,,,X,X,X,,,,,,,,2,3,3,"fluoroquinolone-resistant, third-generation cephalosporin-resistant",
Henipavirus nipahense,11,36,,"Nipah henipavirus
Nipah virus",Virus,"Pandemic preparedness, Biodefense/Bioterrorism",,Paramyxoviridae,,,3052225,,,,X,X,X,,,,,,,,2,3,3,,Antiviral Program for Pandemics
Escherichia coli,10,37,"STEC, EPEC",,Bacteria,AMR/Nosocomial infection,,Enterobacteriaceae,,enteroinvasive diarrhea,562,,,,X,X,X,,,X,,,,,1,3,3,"third-generation cephalosporin-resistant, carbapenem-resistant, Extended-spectrum beta-lactamase (ESBL)",Food- and/or waterborne pathogen
Salmonella enterica subsp. enterica,10,38,"typhi, not-typhi (enterititidis)",,Bacteria,Pandemic preparedness,,Enterobacteriaceae ,,,59201,,,,X,X,X,,,X,,,,,1,3,3,fluoroquinolone-resistant,
Streptococcus pneumoniae,10,39,,,Bacteria,AMR/Nosocomial infection,,Streptococcaceae,,,1313,,,,X,X,X,,,,,,,,1,3,3,"macrolide-resistant, penicillin-resistant",
Phlebovirus riftense ,10,40,Rift Valley fever virus,Rift Valley fever virus,Virus,"Biodefense/Bioterrorism, Animal disease, Pandemic preparedness",Vector-borne Disease,Phenuiviridae,High Priority Group,Rift valley fever,3052676,,,Multiple Species,,X,X,X,X,,,,,,2,2,3,,"Viral hemorrhagic fevers (bunyaviruses), Antiviral Program for Pandemics"
Morbillivirus hominis  ,10,41,Measles morbillivirus,Measles morbillivirus,Virus,"vaccine-preventable, Pandemic preparedness",Vaccine-Preventable Disease,Paramyxoviridae,High Priority Group,Measles,3052345,,,,,X,X,X,,,,,,,2,2,3,,Antiviral Program for Pandemics
Borrelia burgdorferi,9,42,,,Bacteria,"Pandemic preparedness, Biodefense/Bioterrorism, vaccine-preventable",Vector-borne Disease,Borreliaceae,,Lyme disease,139,,,,,X,X,,,,,,,,3,2,2,,
Orthoflavivirus nilense,9,43,West Nile virus,West Nile virus,Virus,"Biodefense/Bioterrorism, vaccine-preventable, Pandemic preparedness",,Flaviviridae,,WNV,3048448,,,,,X,X,,,,,,,,3,2,2,,"Mosquito-borne viruses, Antiviral Program for Pandemics"
Betainfluenzavirus influenzae,9,44,,,Virus,"Pandemic preparedness, Biodefense/Bioterrorism, vaccine-preventable",,Orthomyxoviridae,,,2955465,,,,,X,X,,,,,,,,3,2,2,,
Deltainfluenzavirus influenzae,9,45,,,Virus,"Pandemic preparedness, Biodefense/Bioterrorism, vaccine-preventable",,Orthomyxoviridae,,,2955744,,,,,X,X,,,,,,,,3,2,2,,
Gammainfluenzavirus influenzae,9,46,,,Virus,"Biodefense/Bioterrorism, Pandemic preparedness, vaccine-preventable",,Orthomyxoviridae,,,2955935,,,,,X,X,,,,,,,,3,2,2,,
Hepatovirus A,9,47,,Hepatitis A virus,Virus,"Biodefense/Bioterrorism, STI, vaccine-preventable",,Picornaviridae,,,12092,,,,,X,X,,,,,,,,3,2,2,,Food- and/or waterborne pathogen
Bacillus anthracis,9,48,,,Bacteria,"Biodefense/Bioterrorism, Animal disease",Zoonosis,Bacillaceae,High Priority Group,anthrax,1392,,,Multiple Species,,X,X,X,X,,,,,,1,2,3,,
Lyssavirus rabies,9,49,,Rabies virus,Virus,"Biodefense/Bioterrorism, Animal disease",Zoonosis,Rhabdoviridae,High Priority Group,Rabies,11292,,,Multiple Species,,X,X,X,X,,,,,,1,2,3,,
Orthoflavivirus japonicum ,8,50,Japanese encephalitis virus,Japanese encephalitis virus,Virus,"Biodefense/Bioterrorism, Animal disease, Pandemic preparedness",,Flaviviridae,,JE,3048158,,,Multiple Species,,X,X,,X,,,,,,2,2,2,,"Mosquito-borne viruses, Antiviral Program for Pandemics"
Acinetobacter baumannii,8,51,,,Bacteria,"AMR/Nosocomial infection, Pandemic preparedness",,Moraxellaceae ,,,470,,,,X,X,,,,X,,,,,2,2,2,"carbapenem-resistant, Multidrug-resistant (MDR)",
Bordetella pertussis,8,52,,,Bacteria,"Biodefense/Bioterrorism, vaccine-preventable",,Alcaligenaceae ,,Pertussis o whooping cough,520,,,,,X,X,,,,,,,,2,2,2,,
Campylobacter jejuni,8,53,,,Bacteria,"Biodefense/Bioterrorism, AMR/Nosocomial infection",,Campylobacteraceae ,,,197,,,,,X,X,,,,,,,,2,2,2,,Food- and/or waterborne pathogen
Chlamydia trachomatis,8,54,,,Bacteria,"STI, Neglected Tropical Diseases",,Chlamydiaceae ,,Chlamydia,813,,,,,X,X,,,,,,,,2,2,2,,
Klebsiella pneumoniae,8,55,,,Bacteria,"AMR/Nosocomial infection, Pandemic preparedness",,Enterobacteriaceae,,,573,,,,X,X,,,,,,,,,2,2,2,"carbapenem-resistant, third-generation cephalosporin-resistant",
Haemophilus influenzae,8,56,,,Bacteria,"AMR/Nosocomial infection, vaccine-preventable",,Pasteurellaceae,,,727,,,,X,,X,,,,,,,,2,2,2,ampicillin-resistant,
Clostridioides difficile,8,57,,,Bacteria,"Pandemic preparedness, AMR/Nosocomial infection",,Peptostreptococcaceae ,,,1496,,,,,X,X,,,,,,,,2,2,2,,
Orthopneumovirus hominis,8,58,,Human Respiratory syncytial virus,Virus,"vaccine-preventable, Pandemic preparedness",,Pneumoviridae,,,3049954,,,,,X,X,,,,,,,,2,2,2,,Antiviral Program for Pandemics
